# index, vids, hemisphere, homologue, cell_type, annotations, cluster, _pos
1558,20370716,,-1,,,0,"array([0.64912793, 0.869311  ])"
1559,10059655,left,11639192,DN-SEZ,no official annotation,83,"array([0.62179757, 0.90223413])"
1560,13854190,left,5476653,pre-DN-SEZ,no official annotation,54,"array([0.60119647, 0.8655293 ])"
1561,2597151,left,3158085,pre-DN-VNC,no official annotation,67,"array([0.64054088, 0.88490225])"
1562,11017761,left,16178283,MBON,MBON-p1; CN-61,82,"array([0.59183213, 0.78789879])"
1563,8509534,left,16515871,PN,mPN; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,29,"array([0.57079213, 0.84634303])"
1564,8566140,right,3945756,pre-DN-VNC,no official annotation,73,"array([0.65586121, 0.80489674])"
1565,14460113,left,-1,KC,KC,33,"array([0.53763603, 0.80976028])"
1566,7901791,left,2506050,MBIN,DAN-f1,57,"array([0.56671957, 0.81842707])"
1567,13173311,right,12425856,PN,gustatory-pharyngeal 2nd_order PN,38,"array([0.6142695 , 0.90438889])"
1568,3736500,,-1,,,0,"array([0.56887731, 0.91305678])"
1569,15734988,left,-1,KC,KC,42,"array([0.53716501, 0.78832197])"
1570,16939375,left,8924186,KC,KC,42,"array([0.53807782, 0.80307796])"
1571,17304269,right,11009492,DN-SEZ,no official annotation,71,"array([0.57351845, 0.80324136])"
1572,15615776,right,15673925,sensory,gustatory-external,5,"array([0.50722949, 0.84473553])"
1573,14522124,left,-1,KC,KC,33,"array([0.53946765, 0.80620674])"
1574,11785627,left,-1,KC,KC,42,"array([0.53982962, 0.7970111 ])"
1575,11007420,left,16884962,DN-SEZ,no official annotation,22,"array([0.57804629, 0.80483994])"
1576,16856539,right,10682660,MB-FBN,FBN-22,87,"array([0.60485401, 0.7387651 ])"
1577,11102156,right,11871574,CN,no official annotation,74,"array([0.61692549, 0.75731426])"
1578,4876839,right,18111410,pre-DN-VNC,no official annotation,78,"array([0.66704608, 0.76072183])"
1579,14898816,left,4230739,KC,KC,30,"array([0.55923967, 0.80036544])"
1580,8247451,right,7852250,PN,45a PN; uPN; olfactory 2nd_order PN,12,"array([0.56903306, 0.86797405])"
1581,3819171,left,-1,KC,KC,49,"array([0.52793714, 0.80713134])"
1582,10329208,left,3561724,RGN,no official annotation,83,"array([0.63148318, 0.91617962])"
1583,4393026,left,16131474,LHN,no official annotation,31,"array([0.66559889, 0.86131282])"
1584,6704232,left,8559607,KC,KC,33,"array([0.53993161, 0.80023994])"
1585,14319960,left,-1,KC,KC,49,"array([0.52201556, 0.79722523])"
1586,20242957,,-1,,,0,"array([0.67442533, 0.69199866])"
1587,17335266,,-1,,,0,"array([0.61290834, 0.70218867])"
1588,1622901,left,6156152,DN-VNC,no official annotation,87,"array([0.62490694, 0.70158792])"
1589,17356024,right,16992171,pre-DN-VNC,no official annotation,84,"array([0.6185266 , 0.71942642])"
1590,17647621,right,18485293,DN-VNC,no official annotation,84,"array([0.65945238, 0.70525784])"
1591,12474164,right,17022668,DN-VNC,no official annotation,87,"array([0.62724677, 0.75194714])"
1592,12935706,left,16852421,pre-DN-VNC,no official annotation,85,"array([0.63123725, 0.73574612])"
1593,12474815,right,20151537,pre-DN-VNC,no official annotation,78,"array([0.6510434 , 0.76243953])"
1594,4665627,right,8802069,MB-FFN,FFN-9,69,"array([0.60056528, 0.74343979])"
1595,16952665,left,6154921,DN-VNC,no official annotation,89,"array([0.6052889 , 0.67458492])"
1596,15513540,left,5790355,pre-DN-VNC,no official annotation,87,"array([0.60477464, 0.68732619])"
1597,4408362,,-1,,,0,"array([0.62517797, 0.76644681])"
1598,4180774,right,16427492,MB-FBN,FBN-24,87,"array([0.61382696, 0.7130978 ])"
1599,11362334,right,18538744,pre-DN-VNC,no official annotation,85,"array([0.60447425, 0.74182807])"
1600,9097065,right,16851718,pre-DN-VNC,no official annotation,92,"array([0.61899193, 0.72617924])"
1601,9057998,left,14214039,CN,no official annotation,76,"array([0.61015927, 0.77438525])"
1602,15541971,,-1,,,0,"array([0.65483445, 0.84006447])"
1603,8135412,right,7313896,MB-FFN,FFN-19,38,"array([0.63099774, 0.81549152])"
1604,10947427,right,5764924,DN-SEZ,no official annotation,52,"array([0.70380971, 0.81348039])"
1605,14206030,right,10702736,CN,CN-16,64,"array([0.61305594, 0.80698259])"
1606,8318678,left,-1,KC,KC,49,"array([0.5180666 , 0.80218677])"
1607,16440704,left,-1,KC,KC,49,"array([0.53141625, 0.80543861])"
1608,8393981,left,-1,KC,KC,42,"array([0.53318957, 0.79627999])"
1609,16210988,left,-1,KC,KC,33,"array([0.54707601, 0.80504221])"
1610,5855343,,-1,,,0,"array([0.61912173, 0.78651256])"
1611,9202326,right,20730780,PN-somato,noci 2nd_order PN,27,"array([0.70596867, 0.84173988])"
1612,14255342,left,-1,KC,KC,49,"array([0.52651561, 0.81181659])"
1613,14655602,left,15672269,pre-DN-VNC,no official annotation,71,"array([0.65132894, 0.81023852])"
1614,5782947,right,7025831,pre-DN-VNC,no official annotation,89,"array([0.58873466, 0.69123362])"
1615,5786898,right,15512404,pre-DN-VNC,no official annotation,87,"array([0.63693105, 0.71427085])"
1616,9237734,left,15800115,pre-DN-VNC,no official annotation,84,"array([0.62219716, 0.73289271])"
1617,7574701,right,5681132,MB-FBN,FBN-25,87,"array([0.61536055, 0.72220419])"
1618,5816138,right,15516413,pre-DN-VNC,no official annotation,89,"array([0.61842347, 0.69408875])"
1619,15706875,right,12598741,pre-DN-VNC,no official annotation,87,"array([0.61772854, 0.71446695])"
1620,15028907,left,11362589,PN-somato,proprio 2nd_order PN,85,"array([0.62838647, 0.7171492 ])"
1621,16562142,left,15894278,DN-VNC,no official annotation,84,"array([0.61975333, 0.71234501])"
1622,9006142,left,5783868,CN,no official annotation,54,"array([0.59758739, 0.82846843])"
1623,15636958,right,17354392,pre-DN-SEZ,no official annotation,31,"array([0.65382827, 0.85399171])"
1624,18861011,,-1,,,0,"array([0.62515766, 0.87052357])"
1625,10378182,,-1,,,0,"array([0.68299327, 0.8199576 ])"
1626,6633635,left,9241349,PN-somato,noci 2nd_order PN; mechano-Ch 2nd_order PN,27,"array([0.71291006, 0.85662132])"
1627,17732031,left,11081239,pre-DN-VNC,no official annotation,46,"array([0.68674899, 0.83242844])"
1628,15656223,,-1,,,0,"array([0.70512458, 0.83153138])"
1629,16014607,,-1,,,0,"array([0.72699693, 0.87102226])"
1630,20981306,,-1,,,0,"array([0.71104218, 0.88140631])"
1631,5585799,right,9488991,LHN,no official annotation,31,"array([0.66964056, 0.84867583])"
1632,4215611,right,17321919,DN-SEZ,no official annotation,52,"array([0.67814392, 0.82096868])"
1633,18023286,left,9753494,pre-DN-VNC,no official annotation,71,"array([0.653357  , 0.77388046])"
1634,12654063,left,12990900,pre-DN-SEZ,no official annotation,68,"array([0.6913183, 0.7853438])"
1635,17328580,right,16434560,pre-DN-SEZ,no official annotation,71,"array([0.67779602, 0.77333898])"
1636,10875178,right,10880408,pre-DN-VNC,no official annotation,62,"array([0.63405555, 0.77232654])"
1637,16753901,,-1,,,0,"array([0.61084703, 0.74676003])"
1638,9841469,right,3945232,PN,FFN-4; FFN-5; gustatory-pharyngeal 2nd_order PN; gut 2nd_order PN,54,"array([0.6125734 , 0.88068017])"
1639,15556868,right,15716701,sensory,gustatory-external,3,"array([0.57832511, 0.91385646])"
1640,19929273,,-1,,,0,"array([0.67298096, 0.89142479])"
1641,12089601,left,11838242,PN,gustatory-pharyngeal 2nd_order PN,8,"array([0.65981907, 0.91751347])"
1642,16059078,left,4130960,PN-somato,mechano-Ch 2nd_order PN,27,"array([0.71175272, 0.86623363])"
1643,9640873,right,21250110,ascending,noci,18,"array([0.68205978, 0.82650264])"
1644,9154024,left,16947349,pre-DN-VNC,no official annotation,87,"array([0.59802437, 0.70008903])"
1645,13028455,left,4142619,pre-DN-VNC,no official annotation,89,"array([0.57319163, 0.71197363])"
1646,9707941,right,-1,KC,KC,49,"array([0.53835042, 0.83760532])"
1647,4983938,right,12336493,PN,gustatory-external 2nd_order PN,17,"array([0.5821207 , 0.86870142])"
1648,17769815,,-1,,,0,"array([0.66745417, 0.78387836])"
1649,16547297,left,15589738,pre-DN-VNC,no official annotation,86,"array([0.6473364 , 0.73825326])"
1650,17728730,,-1,,,0,"array([0.67810096, 0.7490977 ])"
1651,4067286,right,10875625,LHN,CN-26,58,"array([0.64611163, 0.78692108])"
1652,19167389,right,20316708,pre-DN-VNC,no official annotation,70,"array([0.66899734, 0.74399781])"
1653,13370624,left,14756440,pre-DN-VNC,no official annotation,70,"array([0.63526865, 0.76554142])"
1654,14756000,left,13634759,PN,gustatory-external 2nd_order PN,44,"array([0.61467697, 0.78445231])"
1655,10169396,right,-1,KC,KC,49,"array([0.53236134, 0.83457191])"
1656,16339338,right,16851496,DN-VNC,no official annotation,92,"array([0.62167799, 0.72910124])"
1657,18566361,left,16471422,pre-DN-VNC,no official annotation,85,"array([0.61630387, 0.76080915])"
1658,13646473,right,16675987,DN-VNC,no official annotation,88,"array([0.63984185, 0.6909456 ])"
1659,17358864,left,13842372,DN-SEZ,no official annotation,89,"array([0.60820413, 0.69218198])"
1660,16561224,left,6702943,DN-SEZ,no official annotation,91,"array([0.62305633, 0.6956613 ])"
1661,19950281,right,4324479,pre-DN-VNC,no official annotation,89,"array([0.63466851, 0.72798724])"
1662,16383966,left,7371184,pre-DN-VNC,no official annotation,65,"array([0.62207499, 0.72585398])"
1663,3010486,right,11027071,pre-DN-VNC,no official annotation,71,"array([0.64082135, 0.82486018])"
1664,7589765,right,13422280,DN-VNC,no official annotation,25,"array([0.64841648, 0.88571548])"
1665,7569260,right,7005184,DN-VNC,no official annotation,83,"array([0.65332781, 0.86772634])"
1666,10167078,right,2568465,PN,mPN; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,32,"array([0.60002998, 0.82803256])"
1667,7590264,right,7005145,DN-VNC,no official annotation,80,"array([0.69365579, 0.79854316])"
1668,17123466,right,10922020,LHN,no official annotation,50,"array([0.68861518, 0.80760279])"
1669,4337398,right,17280216,MB-FBN,FB2N-13,69,"array([0.59015408, 0.75437846])"
1670,5993765,right,8391330,DN-VNC,no official annotation,52,"array([0.67036484, 0.75776649])"
1671,16631222,left,-1,KC,KC,42,"array([0.53136627, 0.79133512])"
1672,16409132,left,17896997,LHN,no official annotation,38,"array([0.61639818, 0.86944239])"
1673,8037197,left,17822238,LN,CN-2,32,"array([0.58766057, 0.84365685])"
1674,16631248,left,-1,KC,KC,49,"array([0.52808881, 0.79751385])"
1675,12667895,left,17425996,PN-somato,noci 2nd_order PN,47,"array([0.64951564, 0.84304158])"
1676,8877158,left,10163418,MBON,MBON-a1,59,"array([0.56758248, 0.78787863])"
1677,21591317,,-1,,,0,"array([0.75381415, 0.83825117])"
1678,17729410,left,9161929,PN-somato,noci 2nd_order PN,19,"array([0.73036924, 0.87491262])"
1679,10937355,right,7766016,ascending,mechano-Ch,14,"array([0.75959954, 0.8436242 ])"
1680,12617396,left,3844799,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,47,"array([0.61567752, 0.88093766])"
1681,4324898,right,8480221,PN,mPN; mPN seahorse; mPN; olfactory 2nd_order PN,22,"array([0.61148891, 0.86144533])"
1682,8496618,right,10553248,DN-VNC,no official annotation,92,"array([0.64597474, 0.7355043 ])"
1683,15894178,right,15005403,DN-VNC,no official annotation,91,"array([0.62180814, 0.7221687 ])"
1684,16340011,right,17067625,pre-DN-VNC,no official annotation,78,"array([0.64961669, 0.7306133 ])"
1685,16340977,left,18232369,DN-SEZ,no official annotation,78,"array([0.66397968, 0.74784101])"
1686,11851588,right,2439150,LHN,no official annotation,56,"array([0.62225664, 0.86295219])"
1687,9524538,left,11946903,PN-somato,mechano-II/III 2nd_order PN,56,"array([0.61829505, 0.87521435])"
1688,3122533,,-1,,,0,"array([0.71979039, 0.8590303 ])"
1689,18656202,left,18655517,PN-somato,noci 2nd_order PN,18,"array([0.72318211, 0.85791539])"
1690,4144377,right,5870071,MB-FBN,FBN-27,87,"array([0.61608008, 0.71750964])"
1691,15722306,left,-1,KC,KC,49,"array([0.51591959, 0.79414179])"
1692,17105842,,-1,,,0,"array([0.59037204, 0.75028778])"
1693,16848587,left,14753815,pre-DN-VNC,no official annotation,73,"array([0.67068096, 0.79831854])"
1694,13988443,right,8539175,CN,CN-40,47,"array([0.61442602, 0.81826779])"
1695,13768622,,-1,,,0,"array([0.62582174, 0.82993471])"
1696,10495502,,-1,,,0,"array([0.60783221, 0.85921558])"
1697,17847543,right,12670738,MB-FFN,FFN-31,47,"array([0.65656534, 0.798891  ])"
1698,12364717,left,11356523,pre-DN-SEZ,no official annotation,67,"array([0.62673472, 0.83795028])"
1699,17896997,right,16409132,LHN,no official annotation,38,"array([0.61566392, 0.8663796 ])"
1700,17378548,,-1,,,0,"array([0.66888715, 0.82927905])"
1701,2663649,,-1,,,0,"array([0.69286616, 0.83101621])"
1702,8193545,,-1,,,0,"array([0.66547361, 0.85125818])"
1703,7449767,right,8529400,pre-DN-VNC,no official annotation,18,"array([0.71945518, 0.81939268])"
1704,4206755,left,7124156,ascending,noci,88,"array([0.67870141, 0.73683604])"
1705,17468727,,-1,,,0,"array([0.72417565, 0.88453096])"
1706,15586914,,-1,,,0,"array([0.72449163, 0.87797257])"
1707,11717020,,-1,,,0,"array([0.7401814 , 0.86763308])"
1708,17360070,,-1,,,0,"array([0.71218764, 0.86052586])"
1709,7587948,right,8047280,DN-VNC,no official annotation,68,"array([0.69454789, 0.83837402])"
1710,2797480,left,13713529,pre-DN-VNC,no official annotation,58,"array([0.61998982, 0.79829288])"
1711,17360014,,-1,,,0,"array([0.70063989, 0.86036921])"
1712,15810983,left,6699205,MBON,MBON-d2,64,"array([0.58346621, 0.78587256])"
1713,7910624,left,7897469,MBON,MBON-q1,64,"array([0.57085987, 0.79052448])"
1714,16240569,right,15592096,MBIN,DAN-c1,57,"array([0.56579162, 0.80784952])"
1715,10792617,left,11278919,pre-DN-VNC,no official annotation,66,"array([0.66315167, 0.7988732 ])"
1716,11348509,left,3765735,pre-DN-VNC,no official annotation,73,"array([0.64784247, 0.81046897])"
1717,8689148,right,5679304,MB-FFN,FFN-34,47,"array([0.64927178, 0.82563819])"
1718,8357933,left,13764822,DN-SEZ,no official annotation,78,"array([0.58231257, 0.74667588])"
1719,11261332,right,3882998,DN-SEZ,no official annotation,52,"array([0.67550544, 0.82818734])"
1720,11934261,,-1,,,0,"array([0.66542361, 0.82901065])"
1721,16675987,left,13646473,DN-VNC,no official annotation,88,"array([0.6405977, 0.7155761])"
1722,17448356,left,13675374,pre-DN-VNC,no official annotation,87,"array([0.62146791, 0.7080288 ])"
1723,7025831,left,5782947,pre-DN-VNC,no official annotation,89,"array([0.57390455, 0.70578254])"
1724,14342744,left,15618614,CN,no official annotation,80,"array([0.59729936, 0.76076258])"
1725,16547268,left,15732485,pre-DN-SEZ,no official annotation,80,"array([0.64281064, 0.75289118])"
1726,12000033,left,9750356,DN-SEZ,no official annotation,4,"array([0.56157314, 0.88238157])"
1727,9069084,right,15525794,pre-DN-VNC,no official annotation,91,"array([0.59467327, 0.7121426 ])"
1728,13948718,right,3945136,pre-DN-VNC,no official annotation,71,"array([0.67717803, 0.83848814])"
1729,10411574,left,17379420,DN-VNC,CN-28; PL-17,62,"array([0.63138493, 0.77517482])"
1730,7962986,,-1,,,0,"array([0.59125233, 0.85966571])"
1731,17355860,,-1,,,0,"array([0.59125059, 0.79201944])"
1732,4636432,left,9808146,LN,no official annotation,28,"array([0.5901251 , 0.88884463])"
1733,12422355,right,8810141,pre-DN-VNC,no official annotation,70,"array([0.67915002, 0.73231572])"
1734,8142831,left,17655000,pre-DN-VNC,PL-15,70,"array([0.68694277, 0.73199487])"
1735,3450442,left,4700078,PN,mPN; mPN iACT B2; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; thermo-warm 2nd_order PN,22,"array([0.57809293, 0.84855452])"
1736,7338309,left,17352470,DN-SEZ,no official annotation,83,"array([0.65106137, 0.88769557])"
1737,17543765,right,18123575,DN-VNC,no official annotation,70,"array([0.63579273, 0.67516695])"
1738,17587452,right,18087179,PN,gustatory-external 2nd_order PN,44,"array([0.59020678, 0.78417291])"
1739,5935744,right,9384504,pre-DN-VNC,no official annotation,78,"array([0.56945854, 0.73279052])"
1740,5167842,right,16547287,pre-DN-VNC,no official annotation,88,"array([0.6351277 , 0.69165806])"
1741,6156152,right,1622901,DN-VNC,no official annotation,87,"array([0.6360648 , 0.70162864])"
1742,17022668,left,12474164,DN-VNC,no official annotation,87,"array([0.63230467, 0.72537631])"
1743,9061235,left,13836327,CN,no official annotation,91,"array([0.59150006, 0.75826074])"
1744,17330632,right,15468308,CN,no official annotation,78,"array([0.63098252, 0.76309777])"
1745,17360022,left,9565674,pre-DN-VNC,no official annotation,44,"array([0.65823451, 0.80767295])"
1746,6554358,right,17776982,DN-SEZ,no official annotation,83,"array([0.67280888, 0.86330482])"
1747,10681487,,-1,,,0,"array([0.60601189, 0.8888772 ])"
1748,16838915,,-1,,,0,"array([0.64423791, 0.90153228])"
1749,17380092,right,4398543,CN,no official annotation,38,"array([0.64567253, 0.87453058])"
1750,18142558,right,10710503,LHN,no official annotation,53,"array([0.61133779, 0.84883844])"
1751,10756813,left,2648254,DN-SEZ,no official annotation,89,"array([0.58852368, 0.75770282])"
1752,8544824,,-1,,,0,"array([0.65027827, 0.89370039])"
1753,19051762,left,17913032,pre-DN-VNC,no official annotation,38,"array([0.63877376, 0.88828979])"
1754,8943485,right,5959820,pre-DN-SEZ,no official annotation,28,"array([0.58992722, 0.89614753])"
1755,17806341,right,4680995,LHN,LHN-4; PL-2; noci 2nd_order PN,47,"array([0.63443732, 0.83709722])"
1756,16428373,left,5369028,pre-DN-VNC,no official annotation,62,"array([0.62232463, 0.82400912])"
1757,12030078,right,17354403,DN-VNC,no official annotation,70,"array([0.69698741, 0.74036478])"
1758,14756061,right,12551020,pre-DN-VNC,no official annotation,73,"array([0.65308858, 0.781052  ])"
1759,17755491,right,17000062,pre-DN-VNC,no official annotation,80,"array([0.63675848, 0.75843151])"
1760,17658978,right,5680013,DN-VNC,no official annotation,68,"array([0.70583731, 0.80001757])"
1761,4017464,right,7057730,pre-DN-VNC,no official annotation,87,"array([0.62818288, 0.6986608 ])"
1762,11356523,right,12364717,pre-DN-SEZ,no official annotation,67,"array([0.62049967, 0.83751658])"
1763,16841026,,-1,,,0,"array([0.65439791, 0.83014831])"
1764,16434842,right,3928522,RGN,no official annotation,56,"array([0.62875478, 0.91063833])"
1765,17383431,left,9532295,pre-DN-VNC,no official annotation,84,"array([0.62536656, 0.72204787])"
1766,8709865,right,16931001,pre-DN-VNC,no official annotation,78,"array([0.64008105, 0.7651785 ])"
1767,10945581,,-1,,,0,"array([0.64473904, 0.81010601])"
1768,9532295,right,17383431,pre-DN-VNC,no official annotation,84,"array([0.63884817, 0.73429009])"
1769,3932136,right,14818307,LHN,no official annotation,43,"array([0.63650429, 0.86642304])"
1770,8124177,right,9940382,PN,vPN; visual 2nd_order PN,31,"array([0.61409709, 0.86181188])"
1771,15985265,,-1,,,0,"array([0.66765913, 0.87716757])"
1772,14519756,left,7467027,pre-DN-VNC,no official annotation,46,"array([0.66647283, 0.85557633])"
1773,17327188,,-1,,,0,"array([0.64940472, 0.90210485])"
1774,3167039,,-1,,,0,"array([0.68029845, 0.88440565])"
1775,3930411,right,11193510,LHN,no official annotation,38,"array([0.59848138, 0.9021969 ])"
1776,4398543,left,17380092,CN,no official annotation,38,"array([0.6462503 , 0.86659602])"
1777,13665529,right,18648531,CN,no official annotation,44,"array([0.63130356, 0.84326949])"
1778,19857573,right,12356747,MB-FFN,FFN-11,53,"array([0.63215434, 0.82540827])"
1779,4101621,right,5963873,LHN,no official annotation,53,"array([0.58415534, 0.83578019])"
1780,7571966,right,15639294,DN-VNC,no official annotation,63,"array([0.64991848, 0.95091418])"
1781,15676571,right,16799939,CN,no official annotation,43,"array([0.62901925, 0.8545066 ])"
1782,9806510,,-1,,,0,"array([0.65467709, 0.82402511])"
1783,16345627,left,16671014,pre-DN-VNC,PL-22,85,"array([0.59376668, 0.73340637])"
1784,4591713,right,14999928,pre-DN-VNC,PL-21,85,"array([0.59596186, 0.72566677])"
1785,16799939,left,15676571,CN,no official annotation,43,"array([0.63639743, 0.84473448])"
1786,10955244,left,11248536,LHN,no official annotation,38,"array([0.65055297, 0.87848676])"
1787,10658673,,-1,,,0,"array([0.62039011, 0.85439876])"
1788,17756162,right,13395814,pre-DN-SEZ,no official annotation,56,"array([0.63636729, 0.85943616])"
1789,3815483,right,2379529,LHN,no official annotation,38,"array([0.63773171, 0.88253851])"
1790,14333371,left,2932028,LHN,no official annotation,38,"array([0.60299142, 0.87982446])"
1791,16846902,right,18500915,CN,no official annotation,62,"array([0.68059021, 0.80336145])"
1792,18648531,left,13665529,CN,no official annotation,44,"array([0.63710503, 0.83723355])"
1793,2979675,left,7422253,pre-DN-VNC,no official annotation,48,"array([0.67716144, 0.85434377])"
1794,8640212,,-1,,,0,"array([0.64200976, 0.87070907])"
1795,4228105,right,10918898,pre-DN-VNC,no official annotation,69,"array([0.57276648, 0.74589931])"
1796,12585379,,-1,,,0,"array([0.6346109 , 0.82553699])"
1797,9201911,left,17591687,LHN,no official annotation,38,"array([0.61909447, 0.85180724])"
1798,8348277,left,18302665,pre-DN-VNC,no official annotation,37,"array([0.67518208, 0.87471099])"
1799,16928740,left,15560623,DN-VNC,no official annotation,70,"array([0.60032478, 0.7600169 ])"
1800,5747036,,-1,,,0,"array([0.6512225 , 0.82273974])"
1801,11050498,right,17804729,pre-DN-VNC,no official annotation,50,"array([0.69213876, 0.80870794])"
1802,7005145,left,7590264,DN-VNC,no official annotation,80,"array([0.67691348, 0.80498789])"
1803,10609443,left,6114695,DN-VNC,no official annotation,52,"array([0.68782075, 0.84563204])"
1804,10893103,left,9720614,PN-somato,noci 2nd_order PN,46,"array([0.69432585, 0.83487453])"
1805,17732334,left,16347786,DN-VNC,no official annotation,70,"array([0.68665548, 0.74669245])"
1806,18076102,left,17654514,DN-VNC,no official annotation,89,"array([0.58989409, 0.68301089])"
1807,4433197,,-1,,,0,"array([0.56048844, 0.75724703])"
1808,5680013,left,17658978,DN-VNC,no official annotation,68,"array([0.69286205, 0.80369566])"
1809,10710503,left,18142558,LHN,no official annotation,53,"array([0.60205576, 0.85576683])"
1810,3727026,right,3926669,RGN,no official annotation,63,"array([0.68447779, 0.92638004])"
1811,9237370,,-1,,,0,"array([0.60883152, 0.88173084])"
1812,11029359,left,3232277,CN,no official annotation,44,"array([0.65805654, 0.85253714])"
1813,19718010,right,5606265,ascending,unknown modality,37,"array([0.58425112, 0.84146486])"
1814,17732791,left,15334461,DN-SEZ,no official annotation,44,"array([0.55940512, 0.86573272])"
1815,13795090,right,3543931,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,53,"array([0.60039505, 0.88214849])"
1816,10167116,right,17814107,DN-SEZ,no official annotation,4,"array([0.58335201, 0.92031068])"
1817,18123575,left,17543765,DN-VNC,no official annotation,70,"array([0.57788443, 0.70110124])"
1818,10473853,left,16355225,pre-DN-VNC,no official annotation,89,"array([0.60606742, 0.707453  ])"
1819,17356467,,-1,,,0,"array([0.56861129, 0.70598002])"
1820,8546775,right,16742642,pre-DN-SEZ,no official annotation,56,"array([0.6415838 , 0.85706221])"
1821,17913032,right,19051762,pre-DN-VNC,no official annotation,38,"array([0.62740378, 0.86757502])"
1822,6049565,right,8801736,pre-DN-VNC,PL-14,65,"array([0.63857175, 0.72685937])"
1823,2650887,right,10758204,pre-DN-VNC,no official annotation,74,"array([0.60574327, 0.75091124])"
1824,17340955,,-1,,,0,"array([0.59031661, 0.76374622])"
1825,17109286,left,6653450,pre-DN-SEZ,no official annotation,72,"array([0.59207829, 0.73843814])"
1826,9585145,right,2979486,LHN,no official annotation,35,"array([0.60950849, 0.85031998])"
1827,15732471,right,3814651,LHN,no official annotation,56,"array([0.60663835, 0.8708836 ])"
1828,16544462,,-1,,,0,"array([0.62282586, 0.7922591 ])"
1829,8755914,left,8741619,DN-VNC,no official annotation,38,"array([0.65906246, 0.86377997])"
1830,3765728,,-1,,,0,"array([0.62547599, 0.8533967 ])"
1831,19884188,,-1,,,0,"array([0.66503333, 0.78036414])"
1832,5745929,left,16617920,pre-DN-VNC,no official annotation,71,"array([0.66296601, 0.77702838])"
1833,7058243,left,15478720,MB-FFN,FFN-26,87,"array([0.62211349, 0.71512884])"
1834,1678567,left,6153877,DN-VNC,no official annotation,92,"array([0.61649361, 0.73820201])"
1835,17454636,left,15467736,pre-DN-VNC,no official annotation,92,"array([0.61911488, 0.7304291 ])"
1836,14656798,right,14492757,pre-DN-VNC,no official annotation,78,"array([0.64991907, 0.76622701])"
1837,10240382,left,5895651,pre-DN-VNC,no official annotation,84,"array([0.6557303 , 0.71644301])"
1838,15055590,left,14492880,pre-DN-VNC,no official annotation,78,"array([0.66963155, 0.73995359])"
1839,8161142,right,7025064,pre-DN-VNC,no official annotation,92,"array([0.64016012, 0.70980791])"
1840,13557064,right,10728333,DN-VNC,no official annotation,85,"array([0.64081967, 0.74782989])"
1841,18111410,left,4876839,pre-DN-VNC,no official annotation,78,"array([0.64944195, 0.75431   ])"
1842,11079069,left,10986253,pre-DN-VNC,no official annotation,68,"array([0.68608282, 0.79866726])"
1843,16667306,left,16520950,DN-VNC,no official annotation,91,"array([0.62369128, 0.68881352])"
1844,16342197,left,12031406,pre-DN-VNC,no official annotation,74,"array([0.63280658, 0.75077696])"
1845,9594273,left,16934932,pre-DN-VNC,PL-20,85,"array([0.60274545, 0.72716589])"
1846,12031406,right,16342197,pre-DN-VNC,no official annotation,74,"array([0.62977422, 0.75399854])"
1847,14651659,left,13760954,DN-VNC,no official annotation,86,"array([0.59692407, 0.75330069])"
1848,16444544,left,8981761,LHN,no official annotation,77,"array([0.62280249, 0.77938356])"
1849,12789813,left,16405545,CN,no official annotation,79,"array([0.62523484, 0.79421431])"
1850,16089738,left,9641919,CN,no official annotation,53,"array([0.61546264, 0.84830011])"
1851,10323628,left,8370111,PN,respiratory 2nd_order PN,76,"array([0.62093011, 0.77570593])"
1852,16554856,,-1,,,0,"array([0.61208886, 0.78213455])"
1853,10702736,left,14206030,CN,CN-16,64,"array([0.61658223, 0.8034063 ])"
1854,17087885,left,17324711,DN-SEZ,no official annotation,71,"array([0.66093182, 0.78848733])"
1855,19190681,right,17358891,DN-VNC,no official annotation,86,"array([0.63015953, 0.74319062])"
1856,16195633,right,3944626,DN-SEZ,no official annotation,73,"array([0.64935517, 0.80452961])"
1857,8047280,left,7587948,DN-VNC,no official annotation,68,"array([0.70292544, 0.82354033])"
1858,8529400,left,7449767,pre-DN-VNC,no official annotation,18,"array([0.733345  , 0.81871872])"
1859,16630479,,-1,,,0,"array([0.68393873, 0.85936581])"
1860,9372642,left,9842000,RGN,no official annotation,56,"array([0.63359487, 0.90802921])"
1861,9288827,,-1,,,0,"array([0.61943239, 0.87785302])"
1862,17384874,right,15576292,pre-DN-SEZ,no official annotation,67,"array([0.65490942, 0.84476734])"
1863,15608953,left,15632120,pre-DN-VNC,no official annotation,50,"array([0.66933509, 0.84166607])"
1864,12360656,left,17819985,PN,gustatory-external 2nd_order PN,44,"array([0.64237198, 0.87756647])"
1865,10885466,left,12548756,pre-DN-VNC,no official annotation,50,"array([0.66906819, 0.8449978 ])"
1866,3945225,left,3793681,PN,gut 2nd_order PN; mechano-II/III 2nd_order PN,54,"array([0.62037781, 0.85832127])"
1867,8814922,right,16160495,MB-FBN,FB2N-16,75,"array([0.59614511, 0.84020675])"
