# index, vids, hemisphere, homologue, cell_type, annotations, cluster, _pos
1190,15548844,right,15522152,DN-VNC,no official annotation,77,"array([0.63565884, 0.77579135])"
1191,4721087,,-1,,,0,"array([0.63330884, 0.78272802])"
1192,8127390,right,19017386,pre-DN-VNC,no official annotation,77,"array([0.63860171, 0.77588576])"
1193,19091995,left,18302931,pre-DN-VNC,no official annotation,70,"array([0.66262099, 0.7685369 ])"
1194,13084891,,-1,,,0,"array([0.6859598 , 0.75544927])"
1195,7130033,left,5996485,DN-SEZ,no official annotation,71,"array([0.6480825 , 0.84014431])"
1196,19268007,,-1,,,0,"array([0.65255349, 0.79393364])"
1197,5794678,right,3979181,DN-VNC,no official annotation,91,"array([0.61590161, 0.77486497])"
1198,15672269,right,14655602,pre-DN-VNC,no official annotation,71,"array([0.64350921, 0.80690611])"
1199,8979434,right,15689046,pre-DN-SEZ,no official annotation,26,"array([0.69150904, 0.83898316])"
1200,12882179,,-1,,,0,"array([0.73775195, 0.820972  ])"
1201,17867309,right,8993049,pre-DN-SEZ,no official annotation,74,"array([0.60204376, 0.79029136])"
1202,17315288,left,5326407,pre-DN-SEZ,no official annotation,69,"array([0.60161111, 0.78745393])"
1203,10929797,left,8198913,ascending,mechano-Ch,18,"array([0.74740217, 0.83787127])"
1204,14762026,right,9481869,PN-somato,mechano-Ch 2nd_order PN,27,"array([0.71077177, 0.85167783])"
1205,10990803,right,9119558,PN,mPN; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,22,"array([0.59036124, 0.87441634])"
1206,4665186,left,17671219,LN,LHN-13; CN-49,32,"array([0.58322719, 0.85451154])"
1207,20443598,right,12195879,PN-somato,noci 2nd_order PN,71,"array([0.67666677, 0.78242811])"
1208,3819859,,-1,,,0,"array([0.66539447, 0.88525017])"
1209,3043970,,-1,,,0,"array([0.63369644, 0.80324148])"
1210,12299647,,-1,,,0,"array([0.62155984, 0.81111882])"
1211,16474159,left,9291437,LHN,no official annotation,38,"array([0.61339034, 0.82645544])"
1212,10809383,right,5321459,MB-FBN,CN-43; FBN-14,64,"array([0.59730131, 0.82180387])"
1213,15048530,right,10345590,pre-DN-SEZ,no official annotation,66,"array([0.65614687, 0.82698668])"
1214,10872426,left,8572353,pre-DN-VNC,no official annotation,73,"array([0.65296268, 0.80131817])"
1215,10449035,left,17658948,pre-DN-VNC,no official annotation,71,"array([0.67263236, 0.79461371])"
1216,4230739,right,14898816,KC,KC,30,"array([0.56187928, 0.81876494])"
1217,9239759,left,9034378,pre-DN-VNC,no official annotation,78,"array([0.62550215, 0.74431136])"
1218,11871574,left,11102156,CN,no official annotation,74,"array([0.61902262, 0.7660014 ])"
1219,16937815,left,13411525,CN,no official annotation,62,"array([0.6520462 , 0.76981587])"
1220,9212816,right,9236708,CN,CN-23,62,"array([0.6281376 , 0.76841935])"
1221,4422289,left,11605861,LHN,no official annotation,47,"array([0.62715183, 0.8187277 ])"
1222,10875625,left,4067286,LHN,CN-26,58,"array([0.6431451 , 0.78395594])"
1223,15674282,right,11876076,pre-DN-VNC,no official annotation,89,"array([0.62765172, 0.73119584])"
1224,9236708,left,9212816,CN,CN-23,62,"array([0.63164715, 0.76600184])"
1225,17237305,left,14948339,CN,CN-18,62,"array([0.63463947, 0.76148861])"
1226,20379247,left,17658602,pre-DN-VNC,no official annotation,70,"array([0.67366829, 0.74969146])"
1227,16714214,right,15431408,pre-DN-VNC,no official annotation,65,"array([0.63664481, 0.77226708])"
1228,12479019,left,5560620,PN,FFN-17; gut 2nd_order PN,54,"array([0.59831471, 0.85928224])"
1229,11229136,left,17529547,DN-SEZ,no official annotation,5,"array([0.55184894, 0.92887316])"
1230,15732497,right,16547292,pre-DN-VNC,no official annotation,84,"array([0.61132025, 0.72402479])"
1231,16443509,right,17356442,pre-DN-VNC,no official annotation,65,"array([0.63720074, 0.7235994 ])"
1232,9384504,left,5935744,pre-DN-VNC,no official annotation,78,"array([0.59668519, 0.71935857])"
1233,13411445,right,10596949,pre-DN-VNC,no official annotation,77,"array([0.64004162, 0.77113008])"
1234,3157405,left,8752697,MB-FBN,FAN-1,55,"array([0.63584716, 0.86304656])"
1235,11027071,left,3010486,pre-DN-VNC,no official annotation,71,"array([0.65443223, 0.82039777])"
1236,2979486,left,9585145,LHN,no official annotation,35,"array([0.61260131, 0.84583793])"
1237,12704069,right,2966602,MB-FBN,CN-21; FBN-4,75,"array([0.60208564, 0.84193962])"
1238,11135340,left,11645541,LN,no official annotation,41,"array([0.59849498, 0.86854252])"
1239,8710444,right,13714311,pre-DN-VNC,no official annotation,85,"array([0.65501666, 0.75239743])"
1240,5164129,right,16545264,pre-DN-VNC,no official annotation,85,"array([0.63005984, 0.7283872 ])"
1241,12424328,left,16457812,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,38,"array([0.60935226, 0.87612421])"
1242,8297018,right,8922644,MBON,MBON-e2,64,"array([0.5751374 , 0.80718825])"
1243,7840791,right,14082322,MBON,MBON-e1,64,"array([0.57596732, 0.82387769])"
1244,15668309,left,17165711,MB-FBN,CN-14; FAN-11,64,"array([0.58805887, 0.80222067])"
1245,9609048,right,15722867,KC,KC,30,"array([0.55756505, 0.81514583])"
1246,7616956,right,7983899,MBIN,OAN-e1,57,"array([0.57051238, 0.82896246])"
1247,5835815,right,-1,KC,KC,33,"array([0.5434497 , 0.82854926])"
1248,4103336,right,12398622,MB-FBN,FB2N-7,75,"array([0.58112599, 0.83509656])"
1249,7897469,right,7910624,MBON,MBON-q1,64,"array([0.5725181 , 0.80623877])"
1250,12475432,left,3890028,MBIN,MBIN-e2,57,"array([0.57277493, 0.82209287])"
1251,15474790,right,12928099,CN,no official annotation,85,"array([0.6211598 , 0.74977183])"
